Date,Open,High,Low,Close,Volume,Adj Close
2015-08-17,1457.00,1459.95,1422.45,1432.00,241200,1423.487
2015-08-14,1407.10,1453.90,1395.00,1445.40,416200,1436.807
2015-08-13,1443.60,1465.00,1401.00,1405.55,282100,1397.194
2015-08-12,1465.10,1479.95,1432.30,1436.75,179800,1428.208
2015-08-11,1501.40,1505.50,1465.00,1469.35,162700,1460.615
2015-08-10,1510.00,1530.00,1490.15,1499.55,236700,1490.635
2015-08-07,1533.75,1538.70,1501.00,1507.05,215300,1498.091
2015-08-06,1523.80,1559.70,1515.00,1526.00,934200,1516.928
2015-08-05,1489.95,1509.00,1477.00,1497.25,389100,1488.349
2015-08-04,1486.45,1486.45,1448.00,1476.10,270100,1467.325
2015-08-03,1459.00,1488.00,1452.00,1475.35,297000,1466.579
2015-07-31,1438.95,1468.00,1427.15,1455.25,232400,1446.598
2015-07-30,1460.00,1465.00,1421.85,1426.85,399600,1418.367
2015-07-29,1385.00,1457.75,1385.00,1450.80,291800,1442.175
2015-07-28,1390.00,1400.00,1376.50,1380.80,171500,1372.591
2015-07-27,1437.00,1439.25,1376.60,1384.20,173800,1375.971
2015-07-24,1454.00,1468.00,1435.00,1441.00,155600,1432.433
2015-07-23,1479.00,1486.00,1447.85,1454.70,196300,1446.052
2015-07-22,1445.00,1476.00,1429.00,1468.75,282400,1460.018
2015-07-21,1491.10,1499.00,1446.30,1453.35,174700,1444.71
2015-07-20,1500.00,1506.40,1480.80,1489.50,260000,1480.645
2015-07-17,1485.00,1507.80,1479.50,1495.15,313300,1486.261
2015-07-16,1485.95,1489.80,1474.00,1479.90,295300,1471.102
2015-07-15,1480.10,1492.00,1465.90,1473.70,282400,1464.939
2015-07-14,1470.00,1488.00,1464.25,1472.75,294400,1463.994
2015-07-13,1441.05,1474.00,1441.05,1461.70,465000,1453.01
2015-07-10,1450.00,1463.10,1436.05,1440.95,368100,1432.383
2015-07-09,1430.05,1456.50,1415.00,1443.25,350000,1434.67
2015-07-08,1432.50,1445.50,1408.00,1423.45,312500,1414.988
2015-07-07,1445.00,1468.95,1442.25,1450.10,429100,1441.479
2015-07-06,1414.00,1446.55,1395.50,1442.25,347300,1433.676
2015-07-03,1421.30,1440.00,1415.65,1428.35,324500,1419.858
2015-07-02,1395.00,1422.00,1390.00,1412.85,577300,1404.451
2015-07-01,1354.00,1389.95,1354.00,1383.30,294500,1375.076
2015-06-30,1331.10,1352.90,1319.50,1348.85,273000,1340.831
2015-06-29,1355.00,1358.00,1305.00,1330.40,255700,1322.491
2015-06-26,1361.30,1390.00,1360.00,1369.55,214800,1361.408
2015-06-25,1360.00,1382.00,1355.00,1370.25,324800,1362.104
2015-06-24,1395.00,1401.75,1350.20,1358.00,258800,1349.927
2015-06-23,1383.40,1406.50,1369.20,1391.70,357200,1383.426
2015-06-22,1375.00,1388.60,1350.00,1376.75,305500,1368.565
2015-06-19,1376.30,1395.00,1367.20,1371.55,309900,1363.396
2015-06-18,1327.40,1372.15,1314.40,1364.15,378600,1356.04
2015-06-17,1329.00,1339.00,1313.00,1321.25,306400,1313.395
2015-06-16,1315.00,1323.55,1300.00,1316.30,199900,1308.475
2015-06-15,1295.00,1321.65,1288.85,1318.40,191600,1310.562
2015-06-12,1295.00,1307.65,1281.00,1292.75,171300,1285.065
2015-06-11,1346.80,1363.50,1279.40,1294.95,291800,1287.251
2015-06-10,1312.70,1349.90,1305.00,1334.50,203800,1326.566
2015-06-09,1295.00,1329.35,1289.20,1316.15,217800,1308.325
2015-06-08,1351.90,1364.35,1290.00,1301.35,290000,1293.613
2015-06-05,1352.50,1374.10,1344.05,1351.90,218100,1343.863
2015-06-04,1325.00,1362.00,1311.05,1343.90,220800,1335.911
2015-06-03,1341.90,1341.90,1286.10,1323.35,209500,1315.483
2015-06-02,1367.00,1387.00,1322.15,1335.55,183900,1327.61
2015-06-01,1367.70,1378.25,1356.20,1366.05,125100,1357.929
2015-05-29,1389.00,1405.00,1362.00,1368.60,534100,1360.464
2015-05-28,1362.00,1395.00,1342.00,1387.15,293900,1378.903
2015-05-27,1344.00,1382.00,1336.00,1361.60,270000,1353.505
2015-05-26,1349.00,1364.00,1333.05,1353.00,149400,1344.956
2015-05-25,1374.00,1376.35,1342.00,1351.55,158500,1343.515
2015-05-22,1395.00,1402.80,1365.00,1373.90,218200,1365.732
2015-05-21,1383.50,1417.80,1383.50,1395.05,450800,1386.756
2015-05-20,1374.70,1404.85,1370.05,1394.30,300800,1386.011
2015-05-19,1392.10,1394.00,1352.50,1362.55,246000,1354.45
2015-05-18,1344.85,1401.85,1342.45,1394.25,367000,1385.961
2015-05-15,1358.00,1364.00,1332.35,1342.45,179000,1334.469
2015-05-14,1307.90,1358.00,1289.95,1347.70,326000,1339.688
2015-05-13,1285.00,1309.55,1257.10,1298.55,293000,1290.83
2015-05-12,1349.00,1349.00,1266.15,1276.05,295400,1268.464
2015-05-11,1307.40,1351.60,1307.40,1342.20,291700,1334.221
2015-05-08,1262.00,1320.90,1262.00,1303.00,307700,1295.254
2015-05-07,1296.00,1298.95,1225.90,1250.50,408100,1243.066
2015-05-06,1335.00,1347.70,1280.00,1295.90,377800,1288.196
2015-05-05,1365.50,1370.00,1321.20,1345.60,414300,1337.60
2015-05-04,1380.00,1409.00,1371.50,1403.60,507600,1395.256
2015-05-01,1360.80,1360.80,1360.80,1360.80,000,1352.71
2015-04-30,1302.10,1369.00,1293.30,1360.80,605400,1352.71
2015-04-29,1293.10,1324.95,1289.05,1300.65,321400,1292.918
2015-04-28,1254.30,1304.45,1241.00,1293.60,323300,1285.909
2015-04-27,1274.80,1283.00,1245.00,1264.95,674900,1257.43
2015-04-24,1285.00,1299.00,1212.25,1228.15,416900,1220.849
2015-04-23,1305.80,1316.65,1268.60,1281.60,213100,1273.981
2015-04-22,1296.10,1318.00,1251.80,1296.15,325700,1288.444
2015-04-21,1307.80,1322.40,1272.70,1291.50,239700,1283.822
2015-04-20,1332.00,1344.90,1291.95,1303.35,269100,1295.602
2015-04-17,1409.00,1409.00,1313.95,1325.80,236300,1317.918
2015-04-16,1431.10,1439.70,1390.00,1404.40,178400,1396.051
2015-04-15,1450.00,1459.95,1421.15,1430.95,212600,1422.443
2015-04-14,1441.35,1441.35,1441.35,1441.35,000,1432.781
2015-04-13,1456.80,1457.00,1420.20,1441.35,248400,1432.781
2015-04-10,1465.00,1479.00,1439.40,1447.35,317700,1438.745
2015-04-09,1469.00,1490.00,1440.00,1458.85,313000,1450.177
2015-04-08,1458.00,1482.90,1450.00,1462.20,303700,1453.507
